be overcome by sth,受不了STH
be overwhelmed by/with sth,被STH压垮
be parallel to sth ,与STH平行/相似
be particular about sth ,对STH挑三拣四
be poles apart,截然相反
be popular among/with sb ,受SB欢迎
be rated as sth ,被评为STH
be regretful about sth,对STH感到後悔
be rushed to hospital,被紧急送往SP
be secure about sth,对STH有把握
be stranded on spl,搁浅于SP
be stranded/trapped in sth ,被困在STH中
be struck down with sth,因STH病倒
be subjected to sth,遭受；受到STH影响
"be surprised at/by sth 
be amazed at/by sth 
be astonished at/by sth 
be shocked at/ by sth 
be astounded at/by sth ",对STH感到惊讶/震惊
be targeted at sth/doing ,针对于STH
be tasked with doing,被指派做
be to blame for sth,为STH负责
be tolerant of sth,容忍STH
be touted as a model ,被标榜为STH
be unaware of sth ,没意识到STH
be up for review,等待审查
be visible to naked eyes,肉眼可见
be way out ahead of sth,遥遥领先于STH
be worse than sth ,比STH更糟
"be worth sth/doing 
be worthy of sth ",值得…
be worthy of being done / to be done ,值得被做
bear fruit = come to fruition ,取得成果
bear in mind [that],记住……
bear out sth,证实STH
bear the marks of sth,透露出STH
bear witness to sth ,见证STH
beat oneself up over one's failure,对失败耿耿于怀
beef up sth,加强STH
beg the question of sth,回避了STH
beguile sb into doing ,诱骗SB做
beguile sb with sth ,用STH欺骗SB
bend the rules,改变规则
bend/bow to hardships,向困难低头
bend/lean over backward to do,拼命做
benefit from the initiative,获益于此倡议
beyond one's depth ,超出SB理解范围
beyond one's reach,遥不可及
bite the bullet,咬紧牙关；硬着头皮
blame/condemn sb for sth ,因STH责备SB
"blend in (with) sth
fit in with sth ",与STH一致；适应；融入
blend/integrate into sth ,融入STH
blow hot and cold,出尔反尔
blunder into spl,错误闯入SP
blur the difference/distinction between A and B,消除了STH的差异
blur the edges/line of sth,模糊了STH的边界
"board a ship 
be aboard the ship ",登船
boast about/of sth,吹嘘STH
boss sb around,对SB颐指气使
bother doing / to do ,费心(去)做
bounce (ideas) off sb,向SB征求意见
break down barriers,打破障碍
"break free of sth 
get away from sth 
shake off sth ",摆脱STH
break/split up with sb ,与SB分手
brighten up someone else's day,点亮别人的生活
"bring about sth 
give rise to sth 
lead to sth 
result in sth 
translate into sth ",产生/导致STH
bring home the bacon,养家糊口
bring sb to ruin,使SB破产/毁灭
bring sth into light = disclose/unmask sth,揭露STH
bring sth to one's notice,使SB注意到STH
bring/cause/do damage to sth,损害STH
broaden/expand one's horizons,开阔视野
build a reputation,树立声誉
bumble into spl ,无奈陷入SP
bump a lump to one's throat,使SB哽咽
bump up sth = ramp up sth ,增加STH
bump/run into sb = encounter sb,偶然遇见SB
burn sb out,使SB精疲力竭
burst into cheers/laughter/tears,突然…
burst onto the scene,横空出世
by a wide margin,以巨大差距
by accident/chance,偶然地
"By and large, 
Overall, 
To summarize, 
To sum up, ",总体上；总而言之
by implication,暗示地
by means of sth,凭借STH
"by no means 
on no account 
under no circumstance ",绝不
"call on sb 
pay a call on sb 
pay a visit to sb ",拜访SB
"can't help doing 
can't help but do ",忍不住做
capitalize on sth ,利用STH（获利）
"captivate sb with sth 
charm sb with sth 
enchant sb with sth ",用STH吸引SB
care about sth ,关心；在意
care for sth ,照料；喜欢
carry out / conduct / perform an experiment/operation ,开展实验/手术
carry out / enforce the law ,执法
cast doubt on sth,怀疑STH
cast/keep an eye on sth,关注STH
"cast/shed/throw light on sth 
shine a light on sth",阐明；揭示STH
catch sight of sth,看见STH
catch up on sth,赶上/弥补STH
cater for/to sb,迎合SB
cease to exist,不复存在
center around/on sth ,以STH为中心
chair a meeting,主持会议
change one's perspective for the better,改变观点使其完善
"China is home to pandas. 
Pandas are native in China. ",原产于SP
China Time-honored Brand,中华老字号
choke sb up,使SB哽咽
claim to be sth,自称是STH
clash/conflict with sb,与SB发生冲突
"classify/group/sort sth into A, B and C",将STH分类为A、B和C
claw one's way to sth ,逐步取得STH
clear up,vi.放晴
clear up sth ,清理STH
cling to sth ,紧握；黏附；坚持STH
coast on sth ,依靠STH而顺利度过
coast/waltz through sth ,轻松通过STH
coincide with sth ,碰巧与STH同时发生
combine A with B ,将A与B组合
come back into the public sight/view,回归大众视野
come back to earth,回到现实
"come into force/operation 
go into effect/operation ",开始生效
come into office = take office ,就职；上任
come into possession of sth = possess sth ,拥有STH 
come into power,执政；上台
come of age,成年
"come to a head 
reach a crisis ",危急存亡
come to life,变得栩栩如生
come to one's notice,引起SB的注意
come to one's rescue/help ,前来救援/帮助SB
come to terms with sth,逐渐接受（悲伤）
come to the fore,崭露头角
come up with sth = think up sth ,想起STH
come upon the stage ,登上舞台
"Come what may, ",无论发生什么
come/go/be along for the ride,凑热闹；兜风；陪伴
come/run across sth ,偶然发现STH
"come/run up against sth 
meet with sth",遭遇（困难/反对）
"commend sb for sth 
honor sb for sth 
recognize sb for sth ",因STH表彰SB
"comment/remark on sth
make comments/remarks on sth ",评论STH
commit an error,犯错
communicate/convey sth to sb,将STH传达给SB
"compel sb to do 
force sb to do / into doing ",强迫SB(去)做
"compensate for sth 
make up for sth 
atone for sth ","补偿（金钱）
弥补
弥补（过错）"
compliment sb on sth,因STH赞美SB
"comply with sth 
conform to sth 
obey sth ",服从；符合（法令）
concentrate/focus on sth ,专注于STH
condition sb to do,训练SB做
congratulate sb on sth,就STH祝贺SB
consider the full scope of sth,全面考虑STH
"consider/regard/see/view A as B 
consider/deem A B 
look on A as B 
think of A as B ",将A视为B
"considering sth / [that] 
in consideration of sth 
in consideration of there being sth ",鉴于；考虑到
"continue to do 
proceed to do 
go on to do ",接着做（另一件事）
convince sb of sth ,使SB相信STH
convince sb to do ,说服SB去做
coordinate with sth,与STH协调
"cope with sth 
deal with sth 
dispose of sth ",应对/处理STH
"corner sb to the edge of sth 
drive/force sb into a corner ",把SB逼入绝境
correspond to/with sth,对应于STH
crack down on sth = sanction sth,制裁STH
"credit A with B 
credit B to A 
owe B to A ",将B归功于A
cry on one's shoulder,向SB倾诉
cure sb of sth ,治愈SB的STH
cut down on sth,削减STH
cut sb some slack,放SB一马
day after day,日复一日
day by day,一天天地
decide on sth ,决定STH
decide/determine to do ,决定做
delve into sth,钻研STH
"depend on sth 
hinge upon sth 
lean on sth 
rely on sth ",依靠STH
deposit sth in(to) spl ,把STH存放在SP
deprive/strip sb of sth,剥夺SB的STH
derive pleasure from sth ,从STH获得乐趣
deserve sth / to do / to be done ,值得STH/做/被做
distance sb from sth,使SB远离STH
distract sb from doing,使SB做STH分心
"divert/turn one's attention from A to B 
shift one's focus from A to B ",将注意力从A转移到B
do away with sth = abolish sth ,废除STH
do sb a favour ,帮SB一个忙
dovetail/mesh with sth ,与STH吻合
draw to a close ,接近尾声
"drive sb to do 
pressure sb to do / into doing",驱使SB(去)做
drop in on sb ,顺路拜访SB
earn a living,谋生
earn rounds of applause,赢得阵阵掌声
eliminate A from B,从B中消除/淘汰A
"embark on doing 
get down to sth 
go about sth/doing 
set about doing 
set out to do 
take to do ",开始/着手做
end in a tie,以平局告终
"endeavor to do 
strive to do 
try to do 
work to do ",力争/努力做
"enforce sth on sb 
impose sth on sb 
inflict sth on sb ",强加STH于SB；使SB蒙受STH
"engage in sth 
participate in sth 
take part in sth ",从事；参与STH
enjoy a favorable reception,获好评
enrol in sth,注册（入学）
"enter the scene 
step onto the scene ",登场；进入现场
equate/identify A with B ,将A等同于B
escape from the hustle and bustle of the city,逃离城市的喧嚣
Every cloud has a silver lining.,黑暗中总有一线光明 
"Every time [clause], S.V.O. 
Whenever [clause], S.V.O.",每当……
"exchange A for B 
replace A with B ",用B替换A
exchange A with sb,将A与SB交换
exclude A from B,从B中排除A
express/show sympathy for sb,表达对SB的同情
face up to sth ,勇敢面对STH
fade away,vi.逐渐消失
fade from the eyesight,淡出视野
fall a prey to reform,成为变革的牺牲品
fall due on September 17th,九月十七日到期
fall in love at first glance/sight,一见钟情
fall out with sb,与SB争吵
fall short of sth,未到达STH
fall victim to rumors,沦为谣言的受害者
fancy doing = feel like doing ,想要做
feel at liberty,随意；自便
feel out of place,格格不入
feel pity/sympathy for sb,同情SB
feel sb do,感觉SB要做
fight tooth and nail,殊死搏斗
"figure out sth 
make sense of sth ",弄清楚STH
find fault with sth ,找茬/挑剔STH
find no shortage of sth,不缺乏STH
"First, = For starters, = To begin with, ",首先
fix one's eyes on sth ,盯着STH
flesh out sth,充实STH
flock to spl,蜂拥而至
fly in the face of sb,公然违抗SB
fly off the handle,情绪失控
follow a strict schedule,严格遵守日程
follow one's suit,效仿SB
fool/trick sb into doing ,愚弄/哄骗SB做
for free = free of charge ,免费
for lack of sth,由于缺乏STH
for the time being,暂时地
"forbid sb from doing 
forbid sb to do (书) ",禁止SB做STH
from an early age,从小
from dawn till dusk,从早到晚
from deep inside = from within ,从心底
from generation to generation,一代代
from now on ,从现在起
from the day forward ,从那天起
from the time forth ,从那时起
from top to bottom,从头到尾
fuel concern over sth ,加剧对STH的担忧
furnish/equip/provide/supply sb with sth,为SB提供STH
"fuss over sb 
fuss about sth ","关心SB
为（琐事）烦恼"
gaze at sth ,凝视STH
gear up for sth ,为STH作准备
generalize A to B,将A推广到B
get 20% discount = offer 20% off ,打八折
get a full image of sth ,得知STH的全貌
get a handle on sth ,掌握STH
get a kick out of sth,享受STH的乐趣
get a seat at the table,占一席之地
get away with sth,侥幸逃脱STH
get entangled in sth,被卷入STH
get from bad to worse,每况愈下
get in the way,挡路；碍事
get on one's nerves,使SB心烦意乱
get one's hands on sth ,亲身体验；得到STH
get paid for sth,因STH得到报酬
get rid of sth = throw away sth ,去除/扔掉STH
get sth across to sb,使SB明白STH
get sth back on track,使STH回归正轨
get through one's hard times,渡过难关
get/run into trouble,遇到麻烦
give an honor to sb,给SB一个荣誉
give credit to sb,信任SB；赞扬SB
give in to sth ,迁就STH；屈服于STH
give preference/priority to sth ,优先考虑STH
give recognition to sb,表彰SB
give sb a lift ,让SB搭便车
give testament to sth ,证明STH
give testimony to sth ,为STH作证
give up on sth ,不再相信STH
give way to sth,让位于STH
give sb the cold shoulder,冷落SB
give/pay one's respects to sb,向SB致敬
give/send regards to sb,向SB致以问候
given sth / [that] ,给定；考虑到；如果有
glow with health,容光焕发
"go all out to do 
make every effort to do 
pull out all the stops to do ",竭尽全力/全力以赴做
go from rags to riches,白手起家
go on strike,罢工
go out of one's way to do,特意做
go the distance   ,坚持到底
go to extraordinary lengths to do,不遗余力做
go wild with joy,欣喜若狂
good value for money,n.高性价比之物；物超所值
guard/protect/secure sb against sth,保护SB免受STH
guard/protect/shelter/shield sb from sth,保护SB不受STH
gush/stream into spl,涌入SP
gut reaction,n.下意识
hands down,轻而易举地
hang in the balance ,悬而未决
harmonize with sth ,与STH和谐
have (no) access to sth ,(不)可获得STH
have a [adj] idea of sth / [wh-] ,对…有AD的想法
have a clear picture of sth,对STH有清晰了解
have a date with sb ,与SB约会
have a good knowledge of sth,对STH有很好了解
have a hard time (in) doing ,很难做到…
have a knack of doing,有做…的天赋
have a long conversation with sb,与SB长谈
have a passion for sth ,对STH有热情
have a share in sth ,分得STH一部分
have a stake in sth ,与STH利益相关
have an appetite for sth,对STH有胃口
have an equal shot at sth,在STH上机会平等
have an intention of doing / to do ,打算做
have command/mastery of sth ,掌握/精通STH
have confidence in sb ,对SB有信心
"have contact with sb 
keep in contact/touch with sb ",与SB有联系
have control of/over sth = control sth ,控制STH
have difficulty/trouble (in) doing ,做…有困难
have mercy on sb,怜悯SB
have no clue to sth / [wh-],对…毫无头绪
have no concept of sth / [that] ,对…没有概念
have no cure for sth,针对STH无药可救
have no idea of sth / [wh-] ,对…一无所知
have no intention of doing / to do ,不打算做
have no knowledge of sth ,对STH一无所知
have no regrets about sth ,不后悔STH
have no sympathy for sb,不同情SB
have the world at one's feet ,功成名就；睥睨天下
have/put/place faith in sb ,信任SB
have/take pity on sb,可怜SB
head for spl = make for spl ,走向SP
"heart and soul 
with all one's heart",全心全意地
help sb out = tide sb over ,帮助SB（渡过难关）
hit it off with sb at once,一拍即合；一见如故
hit the nail on the head,一针见血
hit/make the headlines,上头条
hold a [adj] stance on sth ,对STH持…立场
hold a rally to do,举行集会去做
hold off sth = stave off sth ,延缓STH
hold on to sth,抓住；坚持STH
hold opposite viewpoints on sth,对STH持反对观点
hoover up sth ,大量获得STH
"hope for sth 
look forward to sth ",期待STH
"identify with sb 
resonate with sb 
strike/touch a chord with sb ",与SB产生共鸣
implement a decision/plan/policy,实施决策
"impress sb as sth/adj 
make a [adj] impression on sb ",给SB留下…印象
impress sb with sth ,用STH给SB留下深刻印象
impress sth on sb ,使SB铭记STH
impute B to A,将B归咎于A
in a [adj] fashion,以…方式
in a flash,瞬间
in a good manner,礼貌地
in a pinch,紧要关头；万不得已
"in a way 
in part 
to some degree/extent ",某种程度上
in aid of sb,为了帮助SB
"In brief, 
In short, 
In sum, 
In general, 
Generally (speaking), ","简而言之；一般地
（说明文）"
in case of unexpected needs,以备不时之需
"In conclusion, 
In summary, 
All in all, 
As a whole, 
On the whole, ","总而言之；总体上
（议论文）"
in despair,绝望地
in detail,详细地
in favour of sth,赞成STH
in haste to do,匆忙做
in high gear,挂快档；高速运转地
"in large part 
to a large extent",很大程度上
in light of sth = in view of sth,鉴于STH
in moderation,适度地
"In my humble opinion, ",依我愚见
"In my view, 
From my perspective/standpoint, 
From my point of view, ","依我之见；在我看来
（议论文）"
"in no time 
right away/now 
without delay ",立即
in one's zeal to do / for sth,急于/一心想要…
in pursuit of sth ,为了追求STH
"in regard to sth 
with regard to sth 
in respect of sth 
with respect to sth 
concerning/regarding sth ",关于STH
in search of sth ,为了寻找STH
in spite of sth ,尽管有STH
in succession = on end ,连续地
in support of sb,支持SB
"In terms of sth / [that], ",就…而言
in the absence of sth ,当STH缺席
in the blink of an eye,眨眼间
in the hope of sth ,希望STH
in the long run/term,从长远来看
in the presence of sth ,在STH面前
in the wake of sth,随STH而来
in vain = to no avail ,徒劳无功；无济于事
inform sb of sth ,通知SB STH
infringe copyright / violate privacy ,侵犯著作权/隐私权
"infuse sb with sth 
infuse sth into sth ",向…灌输/注入STH
inherit sth from sb,继承
"inject sb with sth 
inject sth into sb ",向SB注入STH
"inquire about sth 
make inquiry about sth ",询问STH
inspire/motivate sb to do ,激励SB做
instead of sth = rather than sth ,而非STH
instill sth in sb ,向SB灌输STH
integrate A with B ,将A与B融合
irrespective/regardless of sth ,无论STH如何
"issue from sth 
issue sth ","从STH中发出/流出
vt.发布STH"
It didn't occur to sb until [clause].,直到……SB才想起
It is incumbent on sb to do.,SB做…义不容辞
It is proved [that]. ,……被证明了
It makes sense to do.,做…有道理
It occurred to sb [that].,SB想起……
It turns out [that]. ,原来是……
jump on the bandwagon,赶时髦；跟风
keep a clear/guilty conscience,问心(无/有)愧
keep abreast of sth ,及时了解STH
keep pace with sth ,与STH保持同步
keep sb informed of sth ,使SB获知STH
keep sb on sb's toes,使SB保持警觉
keep sth at bay,阻止STH发生
keep sth to oneself,独自保留STH
keep the shop afloat,维持商店运营
keep up with sth ,跟上STH的步伐
kick in = take effect ,起作用
kick off an arms race,打响军备竞赛
"Last but not least, 
To end with, ",最后但同样重要的是
last for a long period of time,持续很长时间
"laugh one's head off 
laugh out loud ",大笑
lavish sth on sb,滥加STH于SB
lay a substantial foundation for sth ,为STH打下坚实基础
lay/put the blame for sth on sb,将STH的责任归咎于SB
lead/live a happy life,过上幸福生活
leave a lot/much to be desired ,不尽如人意
leave nothing to be desired,无可指摘
leave sb in the dust,令SB望尘莫及
leave sth out,排除STH
leave to one's own devices ,放任其发展
leave/let sb alone,不打扰SB
leave/let sth alone,别管STH
level the playing field for sth,为STH创造公平竞争环境
"lie in sth 
rest with sth 
reside in sth ",在于STH
like nobody's business,非常(快/多/出色)地
line/queue up for sth,排队等候STH
line/queue up to do ,排队做
live from hand to mouth,勉强糊口
live up to one's reputation,配得上名誉
liven up,（使）变得活跃
lodge sth with sb ,将STH交予SB保管
look after sth = take care of sth ,照顾STH
look down on sb,轻视SB
look into sth,调查STH
look to sb for sth ,指望从SB处得到STH
look to sb to do,指望SB做
look up the word,查词
look up to sb,敬仰SB
look/search/seek for sth ,寻找STH
lord it over sb,对SB逞威风
lose confidence in sb,对SB失去信心
lose faith in sb,对SB失去信念
lose ground (to sth),失势；败给STH
lose oneself in sth,沉浸于STH；在STH中迷失
lose out to sth,败给STH
lose sight of sth,看不见STH
lose track of sth,失去STH的踪迹
lose trust in sb,对SB失去信任
major/specialize in sth ,专攻STH
make (both) ends meet,收支平衡
make a deal with sb,与SB交易
